Flow cell,Illumina lane,Lib,BCNumber,BC,Lib_BC,individual,slide ID,Testis Sample,,Testis slide ID,,Ind-Slide-sample,seqsample
FC1,WTCHG_98549,6,14,BC14,Lib 6_14,4,G,8,,Testis 4G,G8,4G8,WTCHG_98549_14
FC1,WTCHG_98549,6,15,BC15,Lib 6_15,4,G,9,,Testis 4G,G9,4G9,WTCHG_98549_15
FC1,WTCHG_98549,6,16,BC16,Lib 6_16,4,G,10,,Testis 4G,G10,4G10,WTCHG_98549_16
FC1,WTCHG_98549,6,17,BC17,Lib 6_17,4,G,11,,Testis 4G,G11,4G11,WTCHG_98549_17
FC1,WTCHG_98549,6,18,BC18,Lib 6_18,4,G,12,,Testis 4G,G12,4G12,WTCHG_98549_18
FC1,WTCHG_98550,7,1,BC1,Lib 7_1,4,G,14,,Testis 4G,G14,4G14,WTCHG_98550_01
FC1,WTCHG_98550,7,2,BC2,Lib 7_2,4,G,16,,Testis 4G,G16,4G16,WTCHG_98550_02
FC1,WTCHG_98550,7,3,BC3,Lib 7_3,4,G,17,,Testis 4G,G17,4G17,WTCHG_98550_03
FC1,WTCHG_98550,7,4,BC4,Lib 7_4,4,G,18,,Testis 4G,G18,4G18,WTCHG_98550_04
FC1,WTCHG_98550,7,5,BC5,Lib 7_5,4,G,20,,Testis 4G,G20,4G20,WTCHG_98550_05
FC1,WTCHG_98550,7,6,BC6,Lib 7_6,14,D,1,,Testis 14D,D1,14D1,WTCHG_98550_06
FC1,WTCHG_98550,7,7,BC7,Lib 7_7,14,D,2,,Testis 14D,D2,14D2,WTCHG_98550_07
FC1,WTCHG_98550,7,8,BC8,Lib 7_8,14,D,3,,Testis 14D,D3,14D3,WTCHG_98550_08
FC1,WTCHG_98550,7,9,BC9,Lib 7_9,14,D,4,,Testis 14D,D4,14D4,WTCHG_98550_09
FC1,WTCHG_98550,7,10,BC10,Lib 7_10,14,D,5,,Testis 14D,D5,14D5,WTCHG_98550_10
FC1,WTCHG_98550,7,11,BC11,Lib 7_11,14,D,6,,Testis 14D,D6,14D6,WTCHG_98550_11
FC1,WTCHG_98550,7,12,BC12,Lib 7_12,14,D,7,,Testis 14D,D7,14D7,WTCHG_98550_12
FC1,WTCHG_98550,7,13,BC13,Lib 7_13,14,D,8,,Testis 14D,D8,14D8,WTCHG_98550_13
FC1,WTCHG_98550,7,14,BC14,Lib 7_14,14,D,9,,Testis 14D,D9,14D9,WTCHG_98550_14
FC1,WTCHG_98550,7,15,BC15,Lib 7_15,14,D,10A,,Testis 14D,D10A,14D10A,WTCHG_98550_15
FC1,WTCHG_98550,7,16,BC16,Lib 7_16,14,D,11,,Testis 14D,D11,14D11,WTCHG_98550_16
FC1,WTCHG_98550,7,17,BC17,Lib 7_17,14,D,12A,,Testis 14D,D12A,14D12A,WTCHG_98550_17
FC1,WTCHG_98550,7,18,BC18,Lib 7_18,14,D,12B,,Testis 14D,D12B,14D12B,WTCHG_98550_18
FC1,WTCHG_98551,8,1,BC1,Lib 8_1,10,F,17,,Testis 10F,F17,10F17,WTCHG_98551_01
FC1,WTCHG_98551,8,2,BC2,Lib 8_2,10,F,18,,Testis 10F,F18,10F18,WTCHG_98551_02
FC1,WTCHG_98551,8,3,BC3,Lib 8_3,10,F,20,,Testis 10F,F20,10F20,WTCHG_98551_03
FC1,WTCHG_98551,8,4,BC4,Lib 8_4,10,F,21,,Testis 10F,F21,10F21,WTCHG_98551_04
FC1,WTCHG_98551,8,5,BC5,Lib 8_5,10,F,22,,Testis 10F,F22,10F22,WTCHG_98551_05
FC1,WTCHG_98551,8,6,BC6,Lib 8_6,10,F,23,,Testis 10F,F23,10F23,WTCHG_98551_06
FC1,WTCHG_98551,8,7,BC7,Lib 8_7,10,F,5,,Testis 10F,F5,10F5,WTCHG_98551_07
FC1,WTCHG_98551,8,8,BC8,Lib 8_8,10,F,6,,Testis 10F,F6,10F6,WTCHG_98551_08
FC1,WTCHG_98551,8,9,BC9,Lib 8_9,10,F,7,,Testis 10F,F7,10F7,WTCHG_98551_09
FC1,WTCHG_98551,8,10,BC10,Lib 8_10,10,F,8,,Testis 10F,F8,10F8,WTCHG_98551_10
FC1,WTCHG_98551,8,11,BC11,Lib 8_11,10,F,9,,Testis 10F,F9,10F9,WTCHG_98551_11
FC1,WTCHG_98551,8,12,BC12,Lib 8_12,10,F,10,,Testis 10F,F10,10F10,WTCHG_98551_12
FC1,WTCHG_98551,8,13,BC13,Lib 8_13,10,F,11,,Testis 10F,F11,10F11,WTCHG_98551_13
FC1,WTCHG_98551,8,14,BC14,Lib 8_14,10,F,12,,Testis 10F,F12,10F12,WTCHG_98551_14
FC1,WTCHG_98551,8,15,BC15,Lib 8_15,10,F,14,,Testis 10F,F14,10F14,WTCHG_98551_15
FC1,WTCHG_98551,8,16,BC16,Lib 8_16,10,F,13,,Testis 10F,F13,10F13,WTCHG_98551_16
FC1,WTCHG_98551,8,17,BC17,Lib 8_17,10,F,15,,Testis 10F,F15,10F15,WTCHG_98551_17
FC1,WTCHG_98551,8,18,BC18,Lib 8_18,10,F,16,,Testis 10F,F16,10F16,WTCHG_98551_18
FC2,WTCHG_107218,9,1,BC1,Lib 9_1,14,D,13,,Testis 14D,D13,14D13,WTCHG_107218_01
FC2,WTCHG_107218,9,2,BC2,Lib 9_2,14,D,14,,Testis 14D,D14,14D14,WTCHG_107218_02
FC2,WTCHG_107218,9,3,BC3,Lib 9_3,14,D,15a,,Testis 14D,D15a,14D15a,WTCHG_107218_03
FC2,WTCHG_107218,9,4,BC4,Lib 9_4,14,D,15b,,Testis 14D,D15b,14D15b,WTCHG_107218_04
FC2,WTCHG_107218,9,5,BC5,Lib 9_5,14,D,16,,Testis 14D,D16,14D16,WTCHG_107218_05
